record_id,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99
11,-0.015886283,0.17353816,0.2927833,-0.17526382,-0.04521726,0.13947432,-0.09028384,0.14146748,0.008134196,0.11518621,0.18801656,0.0021437458,0.21906783,0.024620796,0.10905914,-0.2321561,0.23368272,0.111055195,-0.27535892,0.1686142,0.17365393,-0.067318656,0.12504023,-0.04323724,0.2293904,-0.05168647,-0.2156809,-0.4681567,-0.024697293,-0.1447209,-0.06294559,0.49954775,-0.08460303,0.027459353,-0.052994948,0.25975388,0.03891381,0.14706954,0.005387912,-0.24073386,-0.26951304,-0.2523747,0.106367946,-0.32535714,-0.053700157,0.03580211,0.079506345,-0.30081367,-0.0012649432,-0.719029,-0.020857355,0.002548907,0.12194848,0.98590624,-0.17748031,-2.2128215,-0.07365528,-0.16055928,1.5806419,0.37949333,-0.019994164,0.68743193,-0.29315114,0.21585386,0.71115047,-0.0779687,0.3622656,0.32527173,0.12670137,-0.17177872,-0.03385219,-0.19582354,-0.09685821,-0.31832334,0.19803745,0.21774133,-0.20094807,-0.024683174,-0.7810747,-0.07042598,0.51253366,0.039342128,-0.39510688,0.10626946,-1.211024,-0.17823653,0.042777177,-0.17054957,-0.16824083,-0.28810218,-0.03121127,-0.11265101,-0.010645248,-0.0013414655,-0.5190476,-0.11370515,-0.16786598,-0.24230371,0.54148394,0.12710407
12,-0.22077219,0.0987198,0.35573998,-0.44322,0.13492098,0.28220958,-0.013246208,0.093082786,0.34313902,0.14076704,0.27883798,-0.22232759,0.075507596,-0.359546,0.015726,-0.0040334105,0.1429476,0.12596199,-0.19330402,0.535194,0.14592358,0.135098,0.022095,0.1950336,0.23248759,0.16856642,0.012885004,-0.433536,-0.1617778,0.0075895935,0.070728004,0.61134946,0.3767832,0.11183083,0.32525,0.50841796,-0.559158,0.2210832,0.0494806,-0.5260954,0.19883619,0.0922976,0.44021803,-0.36836797,-0.021828007,0.0134304045,-0.03489801,-0.211534,0.278107,-0.41606864,0.085076,-0.007851201,0.3358364,0.47179398,-0.284976,-1.978886,-0.099592,0.3030378,1.4143581,0.092878796,-0.197756,0.9184433,0.20553799,0.19946623,0.5508419,0.169736,0.4120512,-0.14740661,0.35959,-0.2562786,-0.15583,0.12717202,0.26246938,-0.313128,-0.11733,0.39026403,-0.12596199,-0.1242712,-0.47303995,-0.21535859,0.23358181,-0.031336,-0.28059202,0.0703182,-1.0994895,-0.24543019,-0.30244803,-0.17929801,-0.2702476,-0.1743912,0.193036,0.478898,0.459318,-0.059514187,-0.8258501,-0.12725079,-0.17486402,-0.243054,0.81022596,0.63058
13,-0.27081972,0.266574,0.31492183,-0.29398525,-0.11991052,0.14339261,-0.09196506,0.22213106,0.1482263,-0.0030161177,0.1882682,0.12262767,0.2905286,-0.10133337,0.14157125,-0.18269946,-0.0059212805,0.21303517,-0.44861683,0.2735204,0.26769435,-0.08040244,0.13088,0.11101332,0.108901,-0.101379596,0.030342124,-0.3309905,0.21778543,-0.101161435,-0.04181448,0.44612664,-0.10448391,0.13931586,0.1388354,0.36862677,-0.0815588,0.25754613,-0.0803846,-0.3411341,-0.33096316,-0.1744136,0.01580616,-0.39073205,-0.01568725,-0.13766812,0.14434728,-0.47551334,0.048844844,-0.7534864,0.27168524,0.016254317,0.15836914,0.7903345,-0.13135177,-2.2936344,-0.08765627,-0.23980597,1.6329097,0.46719852,-0.25580257,0.7979546,-0.44262424,0.10596245,0.7143087,-0.006758399,0.38233295,0.30684525,0.13683325,-0.32360774,0.088508956,-0.22289243,0.04465948,-0.44152084,0.2710836,0.24271813,-0.09196817,0.006700064,-0.8402547,-0.12856138,0.5300553,-0.15231003,-0.4379005,0.06653411,-1.2098479,-0.15477163,0.20143645,-0.13362594,-0.2714836,-0.27415353,-0.08661966,-0.02124919,0.008640758,-0.12297497,-0.5806068,-0.014906309,-0.044321463,-0.24653079,0.45595697,0.24131075
14,-0.16819267,0.31637228,0.42433956,-0.4046487,-0.20947088,0.15373556,-0.21162774,0.23440593,0.07900401,-0.03552808,0.1312928,0.23076473,0.33795273,0.09390694,-0.017058518,-0.4036448,0.17938478,0.40115678,-0.31122157,0.26023626,0.21622841,-0.008347804,0.073934354,-0.13434853,0.11346384,0.029569848,-0.2281805,-0.5863083,0.085064106,-0.29008666,-0.0012172556,0.5116183,-0.14227055,0.01069547,0.15347826,0.41404846,-0.005698875,0.23802462,-0.04581926,-0.34379944,-0.31529105,-0.26484942,0.11786775,-0.53746533,-0.23757102,-0.047836766,0.039115716,-0.32690609,0.006737119,-0.9325185,0.21456812,0.074790284,0.063565604,0.95976394,-0.07917298,-2.2780983,0.00096738205,-0.19163954,1.7573838,0.47337148,-0.08327757,0.8598105,-0.30047154,0.070877485,0.8318272,-0.030278163,0.47474644,0.38096905,-0.02785599,-0.44886056,-0.012980402,-0.46595123,-0.11262288,-0.40184692,0.10456408,0.080873564,-0.25559133,-0.000110840796,-0.80569726,0.06041576,0.70677304,-0.061717834,-0.537715,-0.07679127,-1.503132,-0.24347584,0.22036625,-0.038333677,-0.3205367,-0.42900103,-0.2531888,-0.14575565,0.09907803,-0.32193798,-0.641297,-0.09950494,-0.05301321,-0.2033192,0.49404943,0.29249182
15,-0.15178905,0.22825883,0.38950247,-0.35277095,-0.28823933,0.15362382,-0.15773213,0.18995082,0.10589124,-0.07245021,0.13752466,0.19144464,0.251829,0.11919658,0.11365601,-0.19647615,0.04005992,0.29016322,-0.38422805,0.3291655,0.15804474,0.09929535,0.06641611,-0.15729223,0.16677532,0.19658516,-0.23224813,-0.48243043,0.15008768,-0.3130183,0.009106319,0.5165557,0.08412998,0.087501265,-0.044090834,0.37266335,-0.0911403,0.20245017,0.11979059,-0.2641635,-0.28859472,-0.19313502,0.075931154,-0.5145876,-0.2732945,-0.034759264,-0.061286524,-0.35403034,-0.0341589,-0.8295683,-0.026667247,0.03438571,0.07193654,0.84086704,-0.21642657,-2.0750737,0.14243607,-0.03449634,1.4435802,0.29039356,0.037047196,0.81762713,-0.32947704,0.045384824,0.62767816,0.014902762,0.5287363,0.2995034,-0.023302581,-0.2753469,0.07371793,-0.21255444,-0.03784832,-0.4815086,0.18787864,0.1605578,-0.099584356,-0.08540052,-0.65478766,0.10548753,0.5756261,-0.08603115,-0.64024276,0.04218628,-1.2579277,-0.21351038,0.08488463,-0.13883175,-0.27940825,-0.3157542,-0.07293151,-0.0712591,0.0725205,-0.096017234,-0.39614636,-0.07489383,-0.030581852,-0.21639645,0.29578087,0.33648694
16,-0.028307796,0.04916852,0.31855175,-0.22465791,0.08407445,0.17468086,-0.17734076,0.15872812,0.009079091,-0.009027148,0.20139557,0.03819074,0.1488963,-0.05812885,0.17426513,-0.29917654,0.044044133,0.027715065,-0.2769085,0.21638349,0.24681035,-0.04829881,0.28160697,0.050145753,0.13796583,-0.16986202,-0.18479879,-0.4022133,-0.017146526,-0.05574218,0.05249748,0.40379408,-0.112039804,-0.004532478,0.053758785,0.2732761,-0.006008382,0.08801234,-0.09058118,-0.18778762,-0.32381538,-0.25349027,0.13796742,-0.23313954,-0.0059769815,-0.017689753,0.2423761,-0.25650448,-0.031107701,-0.72291285,0.1453427,-0.03858217,0.23125209,1.0122056,-0.34025553,-1.998069,-0.06518871,-0.17268226,1.5878218,0.4595564,-0.15170272,0.6111605,-0.23364268,0.18377969,0.57021815,-0.13708511,0.39624912,0.3149484,0.32099408,-0.13360062,-0.10337278,-0.28310445,0.044510715,-0.34566733,0.17181419,0.21670498,-0.18795782,0.027140789,-0.808855,-0.038033362,0.5874107,0.089121826,-0.51102614,0.14440848,-1.2972986,-0.24767828,0.10008936,-0.2116731,-0.15881704,-0.23217517,-0.08598363,-0.08753954,-0.14339891,0.02029444,-0.43269,-0.056782577,-0.19565855,-0.16540061,0.4944237,0.15167369
17,-0.07989161,0.2581358,0.3387519,-0.1478743,-0.07383501,0.14681567,-0.18608814,0.18132511,0.00036192493,0.054740507,0.124355085,-0.014748264,0.20330034,0.062176626,0.13068879,-0.28002706,0.18147603,0.15936475,-0.33933356,0.25025928,0.36298642,-0.016094482,0.12417907,-0.063439116,0.2151666,-0.10931869,-0.17401204,-0.41115823,0.037800968,-0.20418686,0.015894232,0.46909916,-0.018114045,-0.057813514,-0.005371239,0.3764598,-0.13364974,0.12749222,-0.06506014,-0.23398401,-0.21647954,-0.25655147,0.052970897,-0.40440217,-0.1220593,0.07363504,0.108839825,-0.28554457,-0.043069344,-0.7734556,0.16395536,-0.012948627,0.13800189,0.96489996,-0.29897726,-2.1188774,-0.08193038,-0.1963077,1.6379535,0.34535828,-0.1781235,0.72966164,-0.1996162,0.13433287,0.61035377,-0.07647554,0.43787822,0.26142478,0.2083528,-0.22284783,-0.12295529,-0.24016742,-0.038484316,-0.26975563,0.06483487,0.13659027,-0.08953404,-0.048902337,-0.80647737,0.01385408,0.6242142,-0.008030563,-0.36276978,-0.045395017,-1.3239597,-0.16725875,0.07946249,-0.16043702,-0.24081397,-0.36441112,-0.05245969,0.02298681,0.011311172,-0.12657711,-0.5952153,-0.12517095,-0.041736197,-0.18310177,0.56530493,0.17564115
18,-0.2816,0.18427,-0.06755,0.27694,-0.066775,-0.41389,0.30757,-0.11097,-0.84585,-0.17047,0.0062422,-0.65395,0.28771,-0.12409,-0.26717,0.026893,0.17115,-0.46256,0.19549,1.1399,-0.46206,0.39222,-0.18622,-0.53259,0.073297,0.0045262,-0.45476,0.16952,-0.41111,-0.31766,-0.73616,0.56228,-0.26528,-0.088054,0.93175,0.46633,-0.36245,0.46954,-0.18022,-0.07036,0.55793,0.13965,0.38983,-0.04636,0.55198,0.020288,0.34741,-0.61839,0.051404,-0.83699,0.05628,-0.24738,-0.19872,0.75093,0.068948,-1.7575,0.70621,0.079792,1.1462,-0.63423,-0.68378,0.51682,-0.68141,0.29451,0.25864,-0.25839,0.36467,0.026786,0.35151,-0.13273,0.18513,0.52367,1.0416,-0.12293,0.77957,0.41305,-0.28948,0.19722,0.41088,-0.35153,0.48837,0.58854,-0.37273,-0.45631,-0.98976,-0.070993,0.48845,-0.082542,-0.49009,-0.29484,0.031072,-0.38779,0.15321,-0.0078053,-0.43276,0.37334,-0.76888,-0.82518,0.28753,0.76069
19,-0.33638287,0.22445625,0.36483175,-0.32734424,0.04348075,0.08322551,-0.0038752514,0.18625125,0.065568745,0.057220127,0.041193746,-0.11203028,0.32504138,-0.28246388,0.06884988,-0.14291887,0.47131452,-0.0004291311,-0.23128349,0.3791315,0.160651,-0.0557545,0.12788637,0.03055837,0.40455374,-0.23996149,-0.25542867,-0.2294662,-0.099633634,-0.040249504,-0.27279124,0.59915906,0.036052495,0.283246,0.193935,0.315055,-0.12592246,-0.009355875,0.18237439,-0.33824125,-0.22670113,0.074638836,0.28512186,-0.32618123,0.09643314,0.040719524,0.31168875,-0.19223125,-0.12132125,-0.6407232,0.07167275,-0.2207245,0.36093873,1.0095712,-0.47138563,-2.6980548,-0.32897976,-0.292595,1.691925,0.35706127,-0.11966437,0.69750124,-0.048230376,0.076815665,0.8269926,0.033544846,0.43695992,0.3620775,0.27015626,-0.06939721,-0.07738124,-0.25590038,-0.0062588714,-0.19157487,0.3308149,-0.20956351,0.12378836,0.040915005,-0.9100075,0.035514247,0.4106884,-0.0707668,-0.53823876,0.18917665,-0.969885,-0.214764,0.127952,-0.41646922,0.06333849,-0.43031302,0.14900498,-0.17106512,-0.07363126,0.14233239,-0.21698703,-0.010201879,-0.076184504,-0.5480725,0.643135,0.2933225
20,-0.13293359,0.2625289,0.4247555,-0.29754332,-0.13881294,0.18138592,0.025746644,0.27056244,0.021034585,-0.04122289,0.21055733,-0.044269823,0.31051067,-0.10464152,0.21004124,-0.24204648,0.040861115,0.12666048,-0.2755566,0.4327139,0.32803008,0.15332453,0.15106288,0.034772694,0.16803327,-0.06334024,-0.21403572,-0.5270036,-0.04921947,-0.2539523,-0.03697659,0.62861586,0.07847066,0.048254643,0.23865315,0.37518108,-0.17719424,0.19433646,-0.005774086,-0.22320023,-0.43072727,-0.10741349,0.20741476,-0.2803718,-0.23005058,-0.07287345,0.36577797,-0.45710507,-0.006516055,-0.77301073,0.016791176,-0.18717062,0.20327903,1.112907,-0.3190677,-2.5206738,-0.112994246,-0.13348143,1.5580847,0.6242494,-0.105543174,0.85005563,-0.2394263,0.1388754,0.7576559,0.104132935,0.5257036,0.32611004,0.19829789,-0.089394696,0.027963258,-0.21433531,0.070912644,-0.24874252,0.19375305,0.118284225,-0.13657747,-0.11180637,-0.9272249,-0.024619708,0.53498876,-0.05201118,-0.54491884,0.20691049,-1.399244,-0.23480895,0.25737593,-0.2579159,-0.27327466,-0.36476958,0.08900232,-0.13961305,-0.12582459,0.0029310717,-0.55324566,0.050136592,-0.24292845,-0.28046998,0.44548666,0.29019296
