scheme,representation,baseline_f1,tuned_f1,f1_delta,baseline_roc_auc,tuned_roc_auc,roc_auc_delta,required_f1_threshold,passes_requirement,best_params
s1,tfidf,0.6497485857950974,0.6497485857950974,0.0,0.8199168796520491,0.8199168796520491,0.0,0.39999999999999997,True,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
s1,glove,0.6071270767055497,0.6514328930664722,0.04430581636092257,0.8004060173975428,0.8455931642901983,0.04518714689265546,0.39999999999999997,True,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
s2,tfidf,0.6192045704240826,0.6192045704240826,0.0,0.8148351605237197,0.8148351605237197,0.0,0.39999999999999997,True,"{""C"": 1.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
s2,glove,0.6577311577311576,0.6897766504614951,0.03204549273033741,0.8036923818491615,0.8255150883328849,0.02182270648372342,0.39999999999999997,True,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
s3,tfidf,0.6908939014202172,0.6962833914053427,0.005389489985125451,0.8256411420500404,0.8244976907900637,-0.0011434512599766133,0.39999999999999997,True,"{""C"": 3.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
s3,glove,0.6366803927779537,0.6861295885686131,0.04944919579065932,0.8222269863689355,0.8503953681284191,0.02816838175948355,0.39999999999999997,True,"{""C"": 3.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
